Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G35431	SAMEA104446981	Folkvardsen 2017	ERR2229231	1998	
G35433	SAMEA104446983	Folkvardsen 2017	ERR2229233;ERR2229234	1998	
G35434	SAMEA104446986	Folkvardsen 2017	ERR2229235;ERR2229236	1998	
G35435	SAMEA104446987	Folkvardsen 2017	ERR2229237	1998	
G35436	SAMEA104446988	Folkvardsen 2017	ERR2229238	1998	
G35437	SAMEA104446989	Folkvardsen 2017	ERR2229239	1998	
G35438	SAMEA104446990	Folkvardsen 2017	ERR2229240	1998	
G35439	SAMEA104446993	Folkvardsen 2017	ERR2229241	1999	
G35440	SAMEA104447311	Folkvardsen 2017	ERR2229242	2008	
G35441	SAMEA104447312	Folkvardsen 2017	ERR2229243	2008	
G35442	SAMEA104447313	Folkvardsen 2017	ERR2229244	2008	
G35443	SAMEA104447315	Folkvardsen 2017	ERR2229245	2008	
G35444	SAMEA104447318	Folkvardsen 2017	ERR2229246	2008	
G35446	SAMEA104447320	Folkvardsen 2017	ERR2229248	2008	
G35447	SAMEA104447321	Folkvardsen 2017	ERR2229249	2008	
G35449	SAMEA104447324	Folkvardsen 2017	ERR2229251	2008	
G35450	SAMEA104447325	Folkvardsen 2017	ERR2229252	2008	
G35451	SAMEA104447327	Folkvardsen 2017	ERR2229253;ERR2229254	2008	
G35452	SAMEA104447330	Folkvardsen 2017	ERR2229255	2008	
G35453	SAMEA104447331	Folkvardsen 2017	ERR2229256	2008	
G35454	SAMEA104447335	Folkvardsen 2017	ERR2229257	2008	
G35455	SAMEA104447336	Folkvardsen 2017	ERR2229258	2008	
G35456	SAMEA104447337	Folkvardsen 2017	ERR2229259	2008	
G35457	SAMEA104447357	Folkvardsen 2017	ERR2229260	2009	
G35458	SAMEA104447358	Folkvardsen 2017	ERR2229261	2009	
G35459	SAMEA104447360	Folkvardsen 2017	ERR2229262	2009	
G35460	SAMEA104447362	Folkvardsen 2017	ERR2229263	2009	
G35462	SAMEA104447368	Folkvardsen 2017	ERR2229265	2009	
G35463	SAMEA104447364	Folkvardsen 2017	ERR2229266	2009	
G35464	SAMEA104447365	Folkvardsen 2017	ERR2229267	2009	
G35465	SAMEA104447369	Folkvardsen 2017	ERR2229268	2009	
G35466	SAMEA104447370	Folkvardsen 2017	ERR2229269	2009	
G35467	SAMEA104447371	Folkvardsen 2017	ERR2229270	2009	
G35468	SAMEA104447372	Folkvardsen 2017	ERR2229271	2009	
G35469	SAMEA104447373	Folkvardsen 2017	ERR2229272	2009	
G35470	SAMEA104447374	Folkvardsen 2017	ERR2229273	2009	
G35471	SAMEA104447375	Folkvardsen 2017	ERR2229274	2009	
G35472	SAMEA104447378	Folkvardsen 2017	ERR2229275	2009	
G35473	SAMEA104447379	Folkvardsen 2017	ERR2229276	2009	
G35474	SAMEA104447380	Folkvardsen 2017	ERR2229277	2009	
G35475	SAMEA104447381	Folkvardsen 2017	ERR2229278	2009	
G35476	SAMEA104447382	Folkvardsen 2017	ERR2229279	2009	
G35477	SAMEA104447383	Folkvardsen 2017	ERR2229280	2009	
G35478	SAMEA104447384	Folkvardsen 2017	ERR2229281	2009	
G35479	SAMEA104447388	Folkvardsen 2017	ERR2229282	2009	
G35480	SAMEA104447389	Folkvardsen 2017	ERR2229283	2009	
G35481	SAMEA104447390	Folkvardsen 2017	ERR2229284	2009	
G35482	SAMEA104447391	Folkvardsen 2017	ERR2229285	2009	
G35483	SAMEA104447393	Folkvardsen 2017	ERR2229286	2009	
G35484	SAMEA104447394	Folkvardsen 2017	ERR2229287	2009	
G35485	SAMEA104447395	Folkvardsen 2017	ERR2229288	2009	
G35486	SAMEA104447396	Folkvardsen 2017	ERR2229289	2009	
G35487	SAMEA104447398	Folkvardsen 2017	ERR2229290	2009	
G35488	SAMEA104447399	Folkvardsen 2017	ERR2229291	2009	
G35489	SAMEA104447400	Folkvardsen 2017	ERR2229292	2009	
G35490	SAMEA104447402	Folkvardsen 2017	ERR2229293	2009	
G35491	SAMEA104447403	Folkvardsen 2017	ERR2229294	2009	
G35492	SAMEA104447404	Folkvardsen 2017	ERR2229295	2009	
G35493	SAMEA104447405	Folkvardsen 2017	ERR2229296	2009	
G35494	SAMEA104447406	Folkvardsen 2017	ERR2229297	2009	
G35495	SAMEA104447407	Folkvardsen 2017	ERR2229298	2010	
G35496	SAMEA104447408	Folkvardsen 2017	ERR2229299	2010	
G35497	SAMEA104447410	Folkvardsen 2017	ERR2229300	2010	
G35498	SAMEA104447411	Folkvardsen 2017	ERR2229301	2010	
G35499	SAMEA104447412	Folkvardsen 2017	ERR2229302	2010	
G35500	SAMEA104447413	Folkvardsen 2017	ERR2229303	2010	
G35501	SAMEA104447415	Folkvardsen 2017	ERR2229304	2010	
G35502	SAMEA104447416	Folkvardsen 2017	ERR2229305	2010	
G35503	SAMEA104447417	Folkvardsen 2017	ERR2229306	2010	
G35504	SAMEA104447418	Folkvardsen 2017	ERR2229307	2010	
G35505	SAMEA104447419	Folkvardsen 2017	ERR2229308	2010	
G35506	SAMEA104447645	Folkvardsen 2017	ERR2229309	2013	
G35507	SAMEA104447646	Folkvardsen 2017	ERR2229310	2013	
G35508	SAMEA104447649	Folkvardsen 2017	ERR2229311	2013	
G35511	SAMEA104447652	Folkvardsen 2017	ERR2229314	2013	
G35514	SAMEA104447656	Folkvardsen 2017	ERR2229317	2013	
G35515	SAMEA104447657	Folkvardsen 2017	ERR2229318	2013	
G35516	SAMEA104447658	Folkvardsen 2017	ERR2229319	2013	
G35517	SAMEA104447659	Folkvardsen 2017	ERR2229320	2013	
G35522	SAMEA104447542	Folkvardsen 2017	ERR2229325	2012	
G35523	SAMEA104447423	Folkvardsen 2017	ERR2229326	2010	
G35524	SAMEA104447424	Folkvardsen 2017	ERR2229327	2010	
G35525	SAMEA104447425	Folkvardsen 2017	ERR2229328	2010	
G35526	SAMEA104447426	Folkvardsen 2017	ERR2229329	2010	
G35527	SAMEA104447427	Folkvardsen 2017	ERR2229330	2010	
G35528	SAMEA104447428	Folkvardsen 2017	ERR2229331	2010	
G35530	SAMEA104447431	Folkvardsen 2017	ERR2229333	2010	
G35531	SAMEA104447436	Folkvardsen 2017	ERR2229334	2010	
G35532	SAMEA104447437	Folkvardsen 2017	ERR2229335	2010	
G35533	SAMEA104447438	Folkvardsen 2017	ERR2229336;ERR2229337	2010	
G35534	SAMEA104447439	Folkvardsen 2017	ERR2229338	2010	
G35535	SAMEA104447440	Folkvardsen 2017	ERR2229339	2010	
G35536	SAMEA104447441	Folkvardsen 2017	ERR2229340	2010	
G35537	SAMEA104447442	Folkvardsen 2017	ERR2229341	2010	
G35538	SAMEA104447633	Folkvardsen 2017	ERR2229342	2013	
G35539	SAMEA104447433	Folkvardsen 2017	ERR2229343	2010	
G35540	SAMEA104447634	Folkvardsen 2017	ERR2229344	2013	
G35541	SAMEA104447527	Folkvardsen 2017	ERR2229345	2011	
G35542	SAMEA104447528	Folkvardsen 2017	ERR2229346	2011	
G35543	SAMEA104447530	Folkvardsen 2017	ERR2229347	2011	
G35544	SAMEA104447531	Folkvardsen 2017	ERR2229348	2011	
G35545	SAMEA104447532	Folkvardsen 2017	ERR2229349	2011	
G35546	SAMEA104447533	Folkvardsen 2017	ERR2229350	2011	
G35547	SAMEA104447434	Folkvardsen 2017	ERR2229351	2010	
G35548	SAMEA104447534	Folkvardsen 2017	ERR2229352	2011	
G35549	SAMEA104447535	Folkvardsen 2017	ERR2229353	2011	
G35550	SAMEA104447536	Folkvardsen 2017	ERR2229354	2011	
G35551	SAMEA104447537	Folkvardsen 2017	ERR2229355	2012	
G35552	SAMEA104447539	Folkvardsen 2017	ERR2229356	2012	
G35553	SAMEA104447540	Folkvardsen 2017	ERR2229357	2012	
G35555	SAMEA104447699	Folkvardsen 2017	ERR2229359	2014	
G35556	SAMEA104447435	Folkvardsen 2017	ERR2229360	2010	
G35558	SAMEA104447701	Folkvardsen 2017	ERR2229362	2014	
G35560	SAMEA104447703	Folkvardsen 2017	ERR2229364	2014	
G35561	SAMEA104447704	Folkvardsen 2017	ERR2229365	2014	
G35562	SAMEA104447705	Folkvardsen 2017	ERR2229366	2014	
G35563	SAMEA104447706	Folkvardsen 2017	ERR2229367	2014	
G35566	SAMEA104447545	Folkvardsen 2017	ERR2229370	2012	
G35568	SAMEA104447547	Folkvardsen 2017	ERR2229372	2012	
G35569	SAMEA104447548	Folkvardsen 2017	ERR2229373	2012	
G35570	SAMEA104447549	Folkvardsen 2017	ERR2229374	2012	
G35571	SAMEA104447550	Folkvardsen 2017	ERR2229375	2012	
G35574	SAMEA104447553	Folkvardsen 2017	ERR2229378	2012	
G35575	SAMEA104447554	Folkvardsen 2017	ERR2229379	2012	
G35576	SAMEA104447555	Folkvardsen 2017	ERR2229380	2012	
G35577	SAMEA104447556	Folkvardsen 2017	ERR2229381	2012	
G35578	SAMEA104447557	Folkvardsen 2017	ERR2229382	2012	
G35581	SAMEA104447560	Folkvardsen 2017	ERR2229385	2012	
G35582	SAMEA104447561	Folkvardsen 2017	ERR2229386;ERR2229387	2012	
G35584	SAMEA104447563	Folkvardsen 2017	ERR2229389;ERR2229390	2012	
G35595	SAMEA104447577	Folkvardsen 2017	ERR2229401	2012	
G35596	SAMEA104447578	Folkvardsen 2017	ERR2229402	2012	
G35599	SAMEA104447581	Folkvardsen 2017	ERR2229405;ERR2229406	2012	
G35600	SAMEA104447583	Folkvardsen 2017	ERR2229407;ERR2229408	2012	
G35602	SAMEA104447585	Folkvardsen 2017	ERR2229411;ERR2229412	2012	
G35603	SAMEA104447586	Folkvardsen 2017	ERR2229413;ERR2229414	2012	
G35604	SAMEA104447587	Folkvardsen 2017	ERR2229415;ERR2229416	2012	
G35605	SAMEA104447588	Folkvardsen 2017	ERR2229417;ERR2229418;ERR2229419	2012	
G35606	SAMEA104447589	Folkvardsen 2017	ERR2229420;ERR2229421	2012	
G35607	SAMEA104447591	Folkvardsen 2017	ERR2229422;ERR2229423	2012	
G35609	SAMEA104447594	Folkvardsen 2017	ERR2229425;ERR2229426	2012	
G35610	SAMEA104447595	Folkvardsen 2017	ERR2229427;ERR2229428	2012	
G35611	SAMEA104447596	Folkvardsen 2017	ERR2229429;ERR2229430	2012	
G35612	SAMEA104447597	Folkvardsen 2017	ERR2229431;ERR2229432	2012	
G35613	SAMEA104447598	Folkvardsen 2017	ERR2229433;ERR2229434	2012	
G35614	SAMEA104447599	Folkvardsen 2017	ERR2229435;ERR2229436	2012	
G35615	SAMEA104447600	Folkvardsen 2017	ERR2229437;ERR2229438	2012	
G35617	SAMEA104447635	Folkvardsen 2017	ERR2229440	2013	
G35618	SAMEA104447636	Folkvardsen 2017	ERR2229441	2013	
G35620	SAMEA104447639	Folkvardsen 2017	ERR2229443;ERR2229444	2013	
G35621	SAMEA104447640	Folkvardsen 2017	ERR2229445	2013	
G35624	SAMEA104447643	Folkvardsen 2017	ERR2229448	2013	
G35625	SAMEA104447602	Folkvardsen 2017	ERR2229449	2012	
G35626	SAMEA104447603	Folkvardsen 2017	ERR2229450	2012	
G35627	SAMEA104447604	Folkvardsen 2017	ERR2229451	2012	
G35628	SAMEA104447605	Folkvardsen 2017	ERR2229452	2012	
G35629	SAMEA104447606	Folkvardsen 2017	ERR2229453	2012	
G35630	SAMEA104447609	Folkvardsen 2017	ERR2229454	2012	
G35631	SAMEA104447443	Folkvardsen 2017	ERR2229455	2010	
G35632	SAMEA104447444	Folkvardsen 2017	ERR2229456	2010	
G35633	SAMEA104447445	Folkvardsen 2017	ERR2229457	2010	
G35634	SAMEA104447446	Folkvardsen 2017	ERR2229458	2010	
G35635	SAMEA104447447	Folkvardsen 2017	ERR2229459	2010	
G35636	SAMEA104447448	Folkvardsen 2017	ERR2229460	2010	
G35637	SAMEA104447449	Folkvardsen 2017	ERR2229461	2010	
G35639	SAMEA104447451	Folkvardsen 2017	ERR2229463	2010	
G35640	SAMEA104447452	Folkvardsen 2017	ERR2229464	2010	
G35641	SAMEA104447453	Folkvardsen 2017	ERR2229465	2010	
G35642	SAMEA104447454	Folkvardsen 2017	ERR2229466	2010	
G35643	SAMEA104447455	Folkvardsen 2017	ERR2229467	2010	
G35644	SAMEA104447456	Folkvardsen 2017	ERR2229468;ERR2229469	2010	
G35645	SAMEA104447457	Folkvardsen 2017	ERR2229470	2010	
G35646	SAMEA104447458	Folkvardsen 2017	ERR2229471	2010	
G35647	SAMEA104447459	Folkvardsen 2017	ERR2229472	2010	
G35649	SAMEA104447461	Folkvardsen 2017	ERR2229474	2010	
G35650	SAMEA104447462	Folkvardsen 2017	ERR2229475	2010	
G35651	SAMEA104447463	Folkvardsen 2017	ERR2229476;ERR2229477	2010	
G35653	SAMEA104447465	Folkvardsen 2017	ERR2229479	2010	
G35656	SAMEA104447468	Folkvardsen 2017	ERR2229484;ERR2229485	2010	
G35657	SAMEA104447469	Folkvardsen 2017	ERR2229486;ERR2229487	2010	
G35658	SAMEA104447470	Folkvardsen 2017	ERR2229488	2010	
G35660	SAMEA104447472	Folkvardsen 2017	ERR2229491;ERR2229492	2010	
G35661	SAMEA104447473	Folkvardsen 2017	ERR2229493;ERR2229494;ERR2229495	2010	
G35662	SAMEA104447474	Folkvardsen 2017	ERR2229496;ERR2229497	2010	
G35663	SAMEA104447475	Folkvardsen 2017	ERR2229498	2011	
G35664	SAMEA104447476	Folkvardsen 2017	ERR2229499;ERR2229500	2011	
G35670	SAMEA104447487	Folkvardsen 2017	ERR2229508	2011	
G35671	SAMEA104447488	Folkvardsen 2017	ERR2229509	2011	
G35672	SAMEA104447490	Folkvardsen 2017	ERR2229510	2011	
G35675	SAMEA104447493	Folkvardsen 2017	ERR2229513	2011	
G35677	SAMEA104447009	Folkvardsen 2017	ERR2229515	2000	
G35679	SAMEA104447011	Folkvardsen 2017	ERR2229517	2000	
G35680	SAMEA104447012	Folkvardsen 2017	ERR2229518	2000	
G35681	SAMEA104447013	Folkvardsen 2017	ERR2229519;ERR2229520	2000	
G35683	SAMEA104447015	Folkvardsen 2017	ERR2229522	2000	
G35685	SAMEA104447017	Folkvardsen 2017	ERR2229524	2000	
G35686	SAMEA104447018	Folkvardsen 2017	ERR2229525	2000	
G35687	SAMEA104447019	Folkvardsen 2017	ERR2229526	2000	
G35688	SAMEA104447020	Folkvardsen 2017	ERR2229527	2000	
G35691	SAMEA104447025	Folkvardsen 2017	ERR2229530	2000	
G35694	SAMEA104447480	Folkvardsen 2017	ERR2229533	2011	
G35695	SAMEA104447481	Folkvardsen 2017	ERR2229534	2011	
G35697	SAMEA104447495	Folkvardsen 2017	ERR2229536	2011	
G35698	SAMEA104447496	Folkvardsen 2017	ERR2229537	2011	
G35699	SAMEA104447497	Folkvardsen 2017	ERR2229538	2011	
G35701	SAMEA104447499	Folkvardsen 2017	ERR2229540	2011	
G35702	SAMEA104447500	Folkvardsen 2017	ERR2229541	2011	
G35703	SAMEA104447501	Folkvardsen 2017	ERR2229542	2011	
G35704	SAMEA104447502	Folkvardsen 2017	ERR2229543	2011	
G35706	SAMEA104447506	Folkvardsen 2017	ERR2229545	2011	
G35710	SAMEA104447513	Folkvardsen 2017	ERR2229549	2011	
G35711	SAMEA104447514	Folkvardsen 2017	ERR2229550	2011	
G35712	SAMEA104447515	Folkvardsen 2017	ERR2229551	2011	
G35713	SAMEA104447516	Folkvardsen 2017	ERR2229552	2011	
G35717	SAMEA104447022	Folkvardsen 2017	ERR2229556;ERR2229557	2000	
G35718	SAMEA104447027	Folkvardsen 2017	ERR2229558	2000	
G35719	SAMEA104447028	Folkvardsen 2017	ERR2229559	2000	
G35720	SAMEA104447029	Folkvardsen 2017	ERR2229560	2000	
G35722	SAMEA104447031	Folkvardsen 2017	ERR2229562	2001	
G35723	SAMEA104447032	Folkvardsen 2017	ERR2229563;ERR2229564	2001	
G35724	SAMEA104447033	Folkvardsen 2017	ERR2229565	2001	
G35726	SAMEA104447035	Folkvardsen 2017	ERR2229567	2001	
G35727	SAMEA104447036	Folkvardsen 2017	ERR2229568	2001	
G35728	SAMEA104447037	Folkvardsen 2017	ERR2229569	2001	
G35730	SAMEA104447040	Folkvardsen 2017	ERR2229571	2001	
G35731	SAMEA104447520	Folkvardsen 2017	ERR2229572	2011	
G35732	SAMEA104447521	Folkvardsen 2017	ERR2229573	2011	
G35733	SAMEA104447523	Folkvardsen 2017	ERR2229574	2011	
G35740	SAMEA104447086	Folkvardsen 2017	ERR2229582	2002	
G35741	SAMEA104447087	Folkvardsen 2017	ERR2229583	2002	
G35750	SAMEA104447043	Folkvardsen 2017	ERR2229593	2001	
G35751	SAMEA104447044	Folkvardsen 2017	ERR2229594;ERR2229595	2001	
G35753	SAMEA104447046	Folkvardsen 2017	ERR2229597;ERR2229598	2001	
G35754	SAMEA104447047	Folkvardsen 2017	ERR2229599	2001	
G35756	SAMEA104447049	Folkvardsen 2017	ERR2229601	2001	
G35757	SAMEA104447050	Folkvardsen 2017	ERR2229602	2001	
G35759	SAMEA104447052	Folkvardsen 2017	ERR2229604	2001	
G35760	SAMEA104447053	Folkvardsen 2017	ERR2229605	2001	
G35761	SAMEA104447054	Folkvardsen 2017	ERR2229606	2001	
G35764	SAMEA104447057	Folkvardsen 2017	ERR2229609	2001	
G35765	SAMEA104447058	Folkvardsen 2017	ERR2229610	2001	
G35768	SAMEA104447061	Folkvardsen 2017	ERR2229614	2001	
G35769	SAMEA104447062	Folkvardsen 2017	ERR2229615	2001	
G35770	SAMEA104447063	Folkvardsen 2017	ERR2229616	2001	
G35771	SAMEA104447064	Folkvardsen 2017	ERR2229617	2001	
G35772	SAMEA104447065	Folkvardsen 2017	ERR2229618	2001	
G35773	SAMEA104447066	Folkvardsen 2017	ERR2229619	2001	
G35774	SAMEA104447067	Folkvardsen 2017	ERR2229620	2001	
G35775	SAMEA104447068	Folkvardsen 2017	ERR2229621	2001	
G35776	SAMEA104447069	Folkvardsen 2017	ERR2229622	2001	
G35777	SAMEA104447070	Folkvardsen 2017	ERR2229623	2001	
G35778	SAMEA104447071	Folkvardsen 2017	ERR2229624	2001	
G35779	SAMEA104447072	Folkvardsen 2017	ERR2229625	2002	
G35780	SAMEA104447073	Folkvardsen 2017	ERR2229626	2002	
G35781	SAMEA104447074	Folkvardsen 2017	ERR2229627	2002	
G35782	SAMEA104447076	Folkvardsen 2017	ERR2229628	2002	
G35790	SAMEA104447039	Folkvardsen 2017	ERR2229636;ERR2229637	2001	
G35792	SAMEA104447133	Folkvardsen 2017	ERR2229639	2003	
G35793	SAMEA104447134	Folkvardsen 2017	ERR2229640	2003	
G35795	SAMEA104447090	Folkvardsen 2017	ERR2229642	2002	
G35797	SAMEA104447093	Folkvardsen 2017	ERR2229644	2002	
G35798	SAMEA104447094	Folkvardsen 2017	ERR2229645	2002	
G35799	SAMEA104447095	Folkvardsen 2017	ERR2229646	2002	
G35801	SAMEA104447097	Folkvardsen 2017	ERR2229650;ERR2229651	2002	
G35804	SAMEA104447100	Folkvardsen 2017	ERR2229657	2003	
G35807	SAMEA104447103	Folkvardsen 2017	ERR2229660	2003	
G35808	SAMEA104447106	Folkvardsen 2017	ERR2229661	2003	
G35809	SAMEA104447107	Folkvardsen 2017	ERR2229662	2003	
G35810	SAMEA104447108	Folkvardsen 2017	ERR2229663	2003	
G35811	SAMEA104447109	Folkvardsen 2017	ERR2229664	2003	
G35812	SAMEA104447112	Folkvardsen 2017	ERR2229665	2003	
G35813	SAMEA104447113	Folkvardsen 2017	ERR2229666	2003	
G35814	SAMEA104447114	Folkvardsen 2017	ERR2229667	2003	
G35815	SAMEA104447115	Folkvardsen 2017	ERR2229668	2003	
G35816	SAMEA104447117	Folkvardsen 2017	ERR2229669	2003	
G35819	SAMEA104447127	Folkvardsen 2017	ERR2229672	2003	
G35820	SAMEA104447128	Folkvardsen 2017	ERR2229673	2003	
G35822	SAMEA104447130	Folkvardsen 2017	ERR2229675	2003	
G35823	SAMEA104447132	Folkvardsen 2017	ERR2229676	2003	
G35824	SAMEA104447150	Folkvardsen 2017	ERR2229677	2004	
G35826	SAMEA104447182	Folkvardsen 2017	ERR2229679	2005	
G35827	SAMEA104447253	Folkvardsen 2017	ERR2229680	2006	
G35828	SAMEA104446973	Folkvardsen 2017	ERR2229681	1998	
G35829	SAMEA104446994	Folkvardsen 2017	ERR2229682	1999	
G35830	SAMEA104446995	Folkvardsen 2017	ERR2229683	1999	
G35833	SAMEA104446998	Folkvardsen 2017	ERR2229687	1999	
G35838	SAMEA104447004	Folkvardsen 2017	ERR2229692	1999	
G35839	SAMEA104447005	Folkvardsen 2017	ERR2229693;ERR2229694	1999	
G35840	SAMEA104447006	Folkvardsen 2017	ERR2229695	1999	
G35841	SAMEA104447302	Folkvardsen 2017	ERR2229696	2008	
G35844	SAMEA104447305	Folkvardsen 2017	ERR2229699	2008	
G35845	SAMEA104447306	Folkvardsen 2017	ERR2229700	2008	
G35846	SAMEA104447307	Folkvardsen 2017	ERR2229701	2008	
G35847	SAMEA104447341	Folkvardsen 2017	ERR2229702;ERR2229703	2008	
G35849	SAMEA104447343	Folkvardsen 2017	ERR2229705	2008	
G35850	SAMEA104447344	Folkvardsen 2017	ERR2229706	2008	
G35853	SAMEA104447347	Folkvardsen 2017	ERR2229709;ERR2229710	2008	
G35855	SAMEA104447349	Folkvardsen 2017	ERR2229712;ERR2229713	2008	
G35858	SAMEA104447351	Folkvardsen 2017	ERR2229719;ERR2229720	2008	
G35859	SAMEA104447352	Folkvardsen 2017	ERR2229721	2008	
G35861	SAMEA104447353	Folkvardsen 2017	ERR2229723	2008	
G35863	SAMEA104447355	Folkvardsen 2017	ERR2229725	2008	
G35864	SAMEA104447356	Folkvardsen 2017	ERR2229726;ERR2229727	2008	
G35865	SAMEA104447255	Folkvardsen 2017	ERR2229728	2006	
G35866	SAMEA104447257	Folkvardsen 2017	ERR2229729	2006	
G35867	SAMEA104447221	Folkvardsen 2017	ERR2229730	2006	
G35868	SAMEA104447233	Folkvardsen 2017	ERR2229731	2006	
G35869	SAMEA104447397	Folkvardsen 2017	ERR2229732	2009	
G35870	SAMEA104447420	Folkvardsen 2017	ERR2229733	2010	
G35871	SAMEA104447582	Folkvardsen 2017	ERR2229734	2012	
G35872	SAMEA104447660	Folkvardsen 2017	ERR2229735	2014	
G35873	SAMEA104447665	Folkvardsen 2017	ERR2229736	2014	
G35875	SAMEA104447668	Folkvardsen 2017	ERR2229738	2014	
G35876	SAMEA104447669	Folkvardsen 2017	ERR2229739	2014	
G35877	SAMEA104447671	Folkvardsen 2017	ERR2229740	2014	
G35879	SAMEA104447422	Folkvardsen 2017	ERR2229743;ERR2229744	2010	
G35881	SAMEA104446888	Folkvardsen 2017	ERR2229746;ERR2229747	1994	
G35882	SAMEA104446889	Folkvardsen 2017	ERR2229748;ERR2229749	1994	
G35883	SAMEA104446890	Folkvardsen 2017	ERR2229750	1994	
G35884	SAMEA104446891	Folkvardsen 2017	ERR2229751	1994	
G35885	SAMEA104446892	Folkvardsen 2017	ERR2229752;ERR2229753	1994	
G35887	SAMEA104446957	Folkvardsen 2017	ERR2229755	1997	
G35890	SAMEA104447180	Folkvardsen 2017	ERR2229760	2005	
G35891	SAMEA104447183	Folkvardsen 2017	ERR2229761	2005	
G35892	SAMEA104447136	Folkvardsen 2017	ERR2229762;ERR2229763	2003	
G35893	SAMEA104447137	Folkvardsen 2017	ERR2229764;ERR2229765	2003	
G35895	SAMEA104447139	Folkvardsen 2017	ERR2229767	2003	
G35897	SAMEA104447280	Folkvardsen 2017	ERR2229771;ERR2229772	2007	
G35898	SAMEA104447314	Folkvardsen 2017	ERR2229773;ERR2229774	2008	
G35899	SAMEA104446877	Folkvardsen 2017	ERR2229775	1993	
G35900	SAMEA104446878	Folkvardsen 2017	ERR2229776	1993	
G35901	SAMEA104446879	Folkvardsen 2017	ERR2229777	1993	
G35902	SAMEA104446880	Folkvardsen 2017	ERR2229778	1993	
G35903	SAMEA104446881	Folkvardsen 2017	ERR2229779	1993	
G35905	SAMEA104447200	Folkvardsen 2017	ERR2229784;ERR2229785	2005	
G35906	SAMEA104447227	Folkvardsen 2017	ERR2229786;ERR2229787;ERR2229788	2006	
G35907	SAMEA104447181	Folkvardsen 2017	ERR2229789;ERR2229790	2005	
G35909	SAMEA104447189	Folkvardsen 2017	ERR2229794	2005	
G35911	SAMEA104447242	Folkvardsen 2017	ERR2229796	2006	
G35912	SAMEA104447251	Folkvardsen 2017	ERR2229797	2006	
G35913	SAMEA104447401	Folkvardsen 2017	ERR2229798;ERR2229799	2009	
G35914	SAMEA104447409	Folkvardsen 2017	ERR2229800	2010	
G35915	SAMEA104447414	Folkvardsen 2017	ERR2229801;ERR2229802	2010	
G35916	SAMEA104447430	Folkvardsen 2017	ERR2229803	2010	
G35917	SAMEA104447432	Folkvardsen 2017	ERR2229804;ERR2229805	2010	
G35918	SAMEA104447478	Folkvardsen 2017	ERR2229806	2011	
G35919	SAMEA104447479	Folkvardsen 2017	ERR2229807	2011	
G35920	SAMEA104447489	Folkvardsen 2017	ERR2229808	2011	
G35921	SAMEA104447504	Folkvardsen 2017	ERR2229809	2011	
G35922	SAMEA104447509	Folkvardsen 2017	ERR2229810;ERR2229811	2011	
G35923	SAMEA104447510	Folkvardsen 2017	ERR2229812	2011	
G35925	SAMEA104447538	Folkvardsen 2017	ERR2229814	2012	
G35926	SAMEA104447569	Folkvardsen 2017	ERR2229815	2012	
G35927	SAMEA104447590	Folkvardsen 2017	ERR2229816	2012	
G35928	SAMEA104447592	Folkvardsen 2017	ERR2229817	2012	
G35929	SAMEA104446975	Folkvardsen 2017	ERR2229818	1998	
G35931	SAMEA104447607	Folkvardsen 2017	ERR2229820	2012	
G00397	SAMEA2419058	Stucki 2015	ERR464731		
G00634	SAMEA2419078	Stucki 2015	ERR464751		
G00635	SAMEA2419073	Stucki 2015	ERR464746		
G00636	SAMEA2419069	Stucki 2015	ERR464742		
G00638	SAMEA2419060	Stucki 2015	ERR464733		
G00734	SAMEA2419068	Stucki 2015	ERR464741		
G00738	SAMEA2419077	Stucki 2015	ERR464750		
G00740	SAMEA2419065	Stucki 2015	ERR464738		
G00742	SAMEA2419064	Stucki 2015	ERR464737		
G00744	SAMEA2419049	Stucki 2015	ERR464722		
G00746	SAMEA2419079	Stucki 2015	ERR464752		
G00748	SAMEA2419072	Stucki 2015	ERR464745		
G00751	SAMEA2419050	Stucki 2015	ERR464723		
G00756	SAMEA2419048	Stucki 2015	ERR464721		
G00758	SAMEA2419052	Stucki 2015	ERR464725		
G00759	SAMEA2419059	Stucki 2015	ERR464732		
G00761	SAMEA2419062	Stucki 2015	ERR464735		
G00762	SAMEA2419063	Stucki 2015	ERR464736		
G00763	SAMEA2419066	Stucki 2015	ERR464739		
G00764	SAMEA2419067	Stucki 2015	ERR464740		
G00765	SAMEA2419061	Stucki 2015	ERR464734		
G00767	SAMEA2419071	Stucki 2015	ERR464744		
G00768	SAMEA2419070	Stucki 2015	ERR464743		
G00769	SAMEA2419076	Stucki 2015	ERR464749		
G00771	SAMEA2419075	Stucki 2015	ERR464748		
G00772	SAMEA2419104	Stucki 2015	ERR464777		
G00773	SAMEA2419083	Stucki 2015	ERR464756		
G00774	SAMEA2419115	Stucki 2015	ERR464788		
G00775	SAMEA2419114	Stucki 2015	ERR464787		
G00776	SAMEA2419118	Stucki 2015	ERR464791		
G00777	SAMEA2419113	Stucki 2015	ERR464786		
G00778	SAMEA2419117	Stucki 2015	ERR464790		
G00780	SAMEA2419112	Stucki 2015	ERR464785		
G00781	SAMEA2419116	Stucki 2015	ERR464789		
G00782	SAMEA2419084	Stucki 2015	ERR464757		
G00783	SAMEA2419108	Stucki 2015	ERR464781		
